titulo,count
PROJECT MANAGER,50
TEAM LEAD,25
ASSOCIATE TECH SPECIALIST,18
MAINFRAME DEVELOPER,14
PROJECT LEAD,11
JAVA DEVELOPER,11
CYBER SECURITY ANALYST,10
DEVELOPER,10
SHAREPOINT DEVELOPER,9
WORKDAY CONSULTANT,9
ADMINISTRATOR,8
SOFTWARE ENGINEER,8
LEAD ADMINISTRATOR,8
BUSINESS ANALYST,8
TECH MANAGER,7
MANAGER   STATUTORY IT AUDITOR,7
DOTNET SOFTWARE DEVELOPER,6
JAVA FULL STACK DEVELOPER,6
DOTNET DEVELOPER  WFH,6
ORACLE APPS TECHNICAL OAF,6
TEST ENGINEER,6
ASSOCIATE BUSINESS CONSULTANT,6
BRANCH RELATIONSHIP MANAGER,6
MERN DEVELOPER (MONGODB EXPRESSJSREACTJSNODEJS),6
PYTHON DEVELOPER,5
CLOUD ARCHITECT,5
SOLACE ADMIN,5
EBS FINANCE FUNCTIONAL,5
SR ENGINEER,5
TELLER AUTHORIZER,5
FICO,5
ORACLE EPBCS (ENTERPRISE PLANNING AND BUDGETING CLOUD SERVICE),5
TECHNICAL LEAD,5
ORACLE EBS APPS TECHNICAL CONSULTANT,5
JDE TECHNICAL,5
SCRUM MASTER,5
DEVOPS ENGINEER,5
SOFTWARE ENGINEER  BLOCKCHAIN,5
HYPERION ESSBASE AND PLANNING,4
NODEJS,4
ASSOCIATE SECURITY CONSULTANT,4
DEPUTY BRANCH MANAGER ( LEADING PVT BANK),4
SYSTEM ENGINEER,4
INTERNAL AUDIT   CONSULTANT,4
SR SOFTWARE ENGINEER,4
PL PM (SCRUM MASTER),4
MOBILE DEVELOPER  ANDROID,4
OBIEE DEVELOPER,4
DELIVERY MANAGER,4
ORACLE FUSION HCM TECHNICAL ANALYST,4
DOTNET DEVELOPER,3
UNITY DEVELOPER (WFH),3
WEB DEVELOPER   PYTHON,3
OTM PROJECT LEAD,3
SOFTWARE QA ENGINEER 2    QA ENGINEER   MANUAL TEST LEAD   AUTOMATION TEST,3
DATA ENGINEER,3
EMBEDDED ENGINEER,3
PROGRAM MANAGER,3
ENGINEER,3
CLOUD SOFTWARE ENGINEER,3
PYTHON ARCHITECT PYTHON TECH LEAD PYTHON TECHNICAL LEAD,3
DATA SCIENTIST  WFH,3
CYBER SECURITY ARCHITECT,3
JAVA FULL STACK WITH ANGULAR AND SPRINGBOOT,3
REACT DEVELOPER,3
MIS EXECUTIVE,3
JAVA BACK END DEVELOPER,3
PRIMAVERA UNIFIER ARCHITECT,3
SR TEST ENGINEER,3
UI UX DESIGNER,3
FOR BRANCH RELATIONSHIP MANAGER,3
SQL SERVER DBA,3
SERVICENOW DEVELOPERS,3
TASC RM ( LEADING PVT BANK),3
PEGA CSSA SPECIALIST,3
DOT NET DEVELOPER,3
CONSULTANT TECHNOLOGY & IMPLEMENTATION,3
PLSQL DEVELOPMENT,3
ASSOCIATE TEAM LEAD,3
ASSOCIATE TECHNICAL ARCHITECT,3
SECURITY CONSULTANT,3
PPC EXECUTIVE  ASSOCIATE,2
FUSION FINANCE ARCHITECT,2
ANDROID APP DEVELOPER  WFH,2
TECHNOLOGY ANALYST   NET,2
DOT NET DEVELOPER   SR DEVELOPER,2
LTI  FOR CENTRAL FINANCE,2
NET CORE DEVELOPER,2
JAVA SPRING BOOT DEVELOPER,2
PYTHON SOFTWARE DEVELOPER,2
LOOKER BI DEVELOPER,2
SR SECURITY ANALYST,2
ASSOCIATE PRINCIPAL   STRATEGY CONSULTING  (PHARMACEUTICAL MNC),2
SECURITY,2
UI UX DEVELOPER,2
DATA ARCHITECT,2
PYTHON,2
DATA MODELER,2
BACK END DEVELOPER,2
ASSISTANT MANAGER   CYBER ITGC WITH BIG 5 COMY,2
ANALYST CONSULTANT_PRIVATE EQUITY,2
BUSINESS CONSULTANT,2
AWS ENGINEER,2
POWER BI DEVELOPER,2
SEARCH EXECUTIVE,2
BDM BUSINESS LOAN IN A LEADING MNC BANK,2
GCP PROFESSIONALS,2
FULL STACK DEVELOPER,2
ANALYST ASSOCIATE CONSULTANT (PRIMARY MARKET RESEARCH),2
PYTHON SOFTWARE ENGINEER,2
MANUAL TESTER,2
NODEJS LEAD,2
ASSOCIATE DIGITAL MARKETING (WFH),2
BASIS,2
PHP DEVELOPER,2
CONFIGURATOR,2
BUSINESS ANALYST  SME BROKER INSURANCE,2
ANDROID DEVELOPER  WFH,2
APEX DEVELOPER,2
FRONTEND DEVELOPER,2
JAVA DEVELOPERS,2
FUSION HCM TECHNICAL,2
SR QUALITY ANALYST,2
WMS FUNCTIONAL,2
NODE JS,2
QA ENGINEER,2
MANAGER – LEARNING AND DEVELOPMENT (I&D),2
DATA SPECIALIST,2
PRE SALES CONSULTANT,2
DATA ENGINEERING EXPERT   WFH,2
PYTHON DEVELOPER   WFH,2
SF TECH ARCHITECT   ASSOCIATE,2
CUSTOMER SERVICE EXECUTIVE  RETAIL ASSETS  NOIDA,2
CRM CUSTOMER SERVICE,1
TECHNOLOGY ANALYST   NODEJS    PUNE,1
FOR RTR  JAIPUR,1
FOR ASSOCIATE CONSULTANT  DATA MIGRATION WITH A MNC PHARMACEUTICAL FIRM,1
PEGA DEVELOPER,1
MDG WITH ABAP,1
BRANCH MANAGER,1
MANAGER STRATEGIC PLANNING,1
FUSION FINANCE FUNCTIONAL CONSULTANT,1
DATABASE ENGINEER,1
FULL STACK ENGINEER (REACT NODEJS),1
SOFTWARE DEVELOPMENT ANALYST,1
TOOLS CONSULTANT,1
RPA UI PATH,1
NODEJS DEVELOPER (WITH THE FINTECH FIRM),1
PROGRAMMATIC EXECUTIVE,1
ASSOCIATE CONSULTANT  REPORTING WITH A LEADING PHARMACEUTICAL MNC,1
OIC DEVELOPER,1
JAVA DEVELOPER (5 8 YRS),1
BIOINFORMATICS QA,1
HCM LEAD CONSULTANT,1
TECH LEAD,1
BACKUP ADMIN   MUMBAI LOCATION,1
LEAD  DIGITAL BUSINESS PROCESS RE ENGINEERING,1
AD OPERATIONS SPECIALIST,1
UI UX DEVELOPER   MUMBAI,1
AGM PRODUCT MANAGEMENT,1
ENGINEER   LEAD,1
LEAD DEVELOPER,1
GROUP MANAGER OPERATIONS,1
KRONOS CUSTOM REPORTS,1
ORACLE FUSION CRM CONSULTANT,1
FLEXI BANKER,1
TESTING,1
JDE FINANCE,1
SOLUTION LEAD,1
PSFT FINANCE TECHNICAL CONSULTANT,1
ASSOCIATE SOFTWARE ENGINEER  REACT JS WITH A LEADING FINTECH COMY,1
CAMPAIGN ANALYST   PROGRAMMATIC,1
JAVA FULLSTACK DEVELOPER,1
PPC SPECIALIST,1
BASIS   TECH MANAGER,1
HUMAN RESOURCE RECRUITER (HR),1
DATA SOLUTIONS ARCHITECT,1
LEARNING CONSULTANT,1
MANAGER   E COMMERCE (FOR AGRITECH COMY),1
TECHNOLOGY ANALYST   NODEJS    JAIPUR,1
SEM SPECIALIST,1
PPC EXECUTIVE,1
LEAD DATA ENGINEER,1
TECHNICAL ARCHITECT,1
FULLSTACK DEVELOPER,1
BIG DATA ENGINEER   WFH,1
ASSOCIATE   PROGRAMMATIC,1
LINUX LEAD,1
LEAD GOOGLE ANALYTICS (WFH),1
JAVA ASSOCIATE DEVELOPER (WFH),1
SF TECH ARCHITECT,1
PERFORMANCE MARKETING EXECUTIVE,1
STAFF SOFTWARE ENGINEER,1
ASSOCIATE PYTHON PROGRAMMER,1
SYSTEMS ENGINEER  BACK END,1
ANDROID ENGINEER  WFH,1
SR SALESFORCE DEVELOPER (WFH),1
FOR OTC  JAIPUR,1
FULL STACK DEVELOPER (REACT & NODEJS),1
MANAGER   SEARCH ENGINE MARKETING,1
