,titulo,empresa,candidatos,seguidores_linkedin,dedicacao,senioridade,numero_colaboradores,setor,cidade,estado,pais,PYTHON,PANDAS,NUMPY,POWER BI,TABLEAU,EXCEL,SQL,MYSQL,POSTGRESQL,MONGODB,AI,ML
0,PROJECT MANAGER,Wipro,0,6737360,Tempo integral , Junior,"10,001+ colaboradores ", Serviços e consultoria em TI,Mumbai, Maharashtra, India,0,0,0,0,0,1,0,0,0,0,1,1
1,PROJECT MANAGER,Wipro,121,6737360,Tempo integral , Junior,"10,001+ colaboradores ", Serviços e consultoria em TI,Delhi, Delhi, India,0,0,0,0,0,1,0,0,0,0,1,1
2,PROJECT MANAGER,Wipro,0,6737360,Tempo integral , Junior,"10,001+ colaboradores ", Serviços e consultoria em TI,Delhi, Delhi, India,0,0,0,0,0,1,0,0,0,0,1,1
3,ADMINISTRATOR,Wipro,0,6737360,Tempo integral , Pleno,"10,001+ colaboradores ", Serviços e consultoria em TI,Hyderabad, Telangana, India,0,0,0,0,0,1,0,0,0,0,1,0
4,JAVA DEVELOPER,LTIMindtree,22,270267,Tempo integral , Junior,"10,001+ colaboradores ", Serviços e consultoria em TI,Hyderabad, Telangana, India,0,0,0,0,0,0,0,0,0,0,0,1
5,PROJECT MANAGER,Wipro,119,6737360,Tempo integral , Junior,"10,001+ colaboradores ", Serviços e consultoria em TI,Mumbai, Maharashtra, India,0,0,0,0,0,1,0,0,0,0,1,1
6,SQL DEVELOPER,IDESLABS PRIVATE LIMITED,9,80865,Tempo integral , Junior,51-200 colaboradores , Serviços e consultoria em TI,Pune, Maharashtra, India,0,0,0,0,0,1,1,0,0,0,1,1
7,ADMINISTRATOR,Wipro,39,6737360,Tempo integral , Pleno,"10,001+ colaboradores ", Serviços e consultoria em TI,Hyderabad, Telangana, India,0,0,0,0,0,1,0,0,0,0,1,0
8,ADMINISTRATOR,Wipro,22,6737360,Tempo integral , Pleno,"10,001+ colaboradores ", Serviços e consultoria em TI,Hyderabad, Telangana, India,0,0,0,0,0,1,0,0,0,0,1,0
9,TEST ENGINEER,Wipro,158,6737360,Tempo integral , Junior,"10,001+ colaboradores ", Serviços e consultoria em TI,Mumbai, Maharashtra, India,0,0,0,0,0,1,0,0,0,0,1,0
